,address,listingby,price,beds,baths,sqft,building_type
0,"710 London St, San Francisco, CA 94112","COMPASS, Darin J. Holwitz","$1,498,000",4 bds,3 ba,"2,047 sqft",- House for sale
1,"655 27th St, San Francisco, CA 94131","COMPASS SF, Dale T. Boutiette","$2,195,000",3 bds,3 ba,"1,791 sqft",- House for sale
2,"270 Sadowa St, San Francisco, CA 94112","PACIFIC EDGE, Cynthia M. Pagan","$1,049,000",3 bds,2 ba,"1,264 sqft",- House for sale
3,"437 Valley St, San Francisco, CA 94131","SOTHEBY'S INTERNATIONAL REALTY, Allison Fortini Crawford","$2,000,000",3 bds,2 ba,"1,949 sqft",- House for sale
4,"585 Rockdale Dr, San Francisco, CA 94127","CORCORAN GLOBAL LIVING, Edward O'Connell","$1,295,000",2 bds,1 ba,"1,152 sqft",- House for sale
5,"2 Short St, San Francisco, CA 94114","GENERATION REAL ESTATE, Lamisse Droubi","$1,195,000",1 bd,2 ba,"1,019 sqft",- House for sale
6,"23 Skyview Way, San Francisco, CA 94131","COMPASS SF, Par Hanji","$1,995,000",4 bds,4 ba,"2,317 sqft",- House for sale
7,"634 Rockdale Dr, San Francisco, CA 94127",NaN,"$1,697,000",4 bds,3 ba,"2,014 sqft",- House for sale
8,"25 Woodland Ave, San Francisco, CA 94117","VANGUARD PROPERTIES, Ilana D. Minkoff","$2,995,000",4 bds,3 ba,"2,397 sqft",- House for sale
9,"2828 Vallejo St, San Francisco, CA 94123","COMPASS, Neal Allen Ward","$28,000,000",8 bds,9 ba,"10,345 sqft",- House for sale
10,"125 Precita Ave #A, San Francisco, CA 94110","COMPASS, Danielle H. Lazier","$695,000",2 bds,1 ba,"1,055 sqft",- Condo for sale
11,"321 10th Ave, San Francisco, CA 94118","COMPASS SF, Dale T. Boutiette","$1,995,000",3 bds,3 ba,"2,170 sqft",- House for sale
12,"225 Mullen Ave, San Francisco, CA 94110","ARG REAL ESTATE, Jason D. Gomez","$1,650,000",3 bds,2 ba,"1,650 sqft",- House for sale
13,"116 Galewood Cir, San Francisco, CA 94131",NaN,"$1,610,000",2 bds,3 ba,"1,465 sqft",- House for sale
14,"210 Richardson Ave, San Francisco, CA 94123","COMPASS, David B. Bellings","$2,495,000",4 bds,4 ba,"2,839 sqft",- House for sale
